#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-1.4825,h8A Framing Error,h5D[]]
-1.48,X,h5D[]]
-1.4775,X,h5D[]]
-1.475,X,h5D[]]
-1.4725,X,h5D[]]
-1.47,X,h5D[]]
-1.4675,X,h5D[]]
-1.465,X,h5D[]]
-1.4625,X,h5D[]]
-1.46,X,h5D[]]
-1.4575,X,h5D[]]
-1.455,X,h5D[]]
-1.4525,X,h5D[]]
-1.45,X,h5D[]]
-1.4475,X,h5D[]]
-1.445,X,h5D[]]
-1.4425,X,h5D[]]
-1.44,X,h5D[]]
-1.4375,X,h5D[]]
-1.435,X,h5D[]]
-1.4325,X,h5D[]]
-1.43,X,h5D[]]
-1.4275,X,h5D[]]
-1.425,X,h5D[]]
-1.4225,X,h5D[]]
-1.42,X,h5D[]]
-1.4175,X,h5D[]]
-1.415,X,h5D[]]
-1.4125,X,h5D[]]
-1.41,X,h5D[]]
-1.4075,h15[NAK] Framing Error,h5D[]]
-1.405,h15[NAK] Framing Error,h5D[]]
-1.4025,h15[NAK] Framing Error,h5D[]]
-1.4,h15[NAK] Framing Error,h5D[]]
-1.3975,h15[NAK] Framing Error,h5D[]]
-1.395,h15[NAK] Framing Error,h5D[]]
-1.3925,h15[NAK] Framing Error,h5D[]]
-1.39,h15[NAK] Framing Error,h5D[]]
-1.3875,h15[NAK] Framing Error,h5D[]]
-1.385,h15[NAK] Framing Error,X
-1.3825,h15[NAK] Framing Error,X
-1.38,h15[NAK] Framing Error,X
-1.3775,h15[NAK] Framing Error,X
-1.375,h15[NAK] Framing Error,X
-1.3725,h15[NAK] Framing Error,X
-1.37,h15[NAK] Framing Error,X
-1.3675,h15[NAK] Framing Error,X
-1.365,h15[NAK] Framing Error,X
-1.3625,h15[NAK] Framing Error,hF5[õ]
-1.36,h15[NAK] Framing Error,hF5[õ]
-1.3575,h15[NAK] Framing Error,hF5[õ]
-1.355,h15[NAK] Framing Error,hF5[õ]
-1.3525,h15[NAK] Framing Error,hF5[õ]
-1.35,h15[NAK] Framing Error,hF5[õ]
-1.3475,h15[NAK] Framing Error,hF5[õ]
-1.345,h15[NAK] Framing Error,hF5[õ]
-1.3425,h15[NAK] Framing Error,hF5[õ]
-1.34,h15[NAK] Framing Error,hF5[õ]
-1.3375,h15[NAK] Framing Error,hF5[õ]
-1.335,h15[NAK] Framing Error,hF5[õ]
-1.3325,h15[NAK] Framing Error,hF5[õ]
-1.33,h15[NAK] Framing Error,hF5[õ]
-1.3275,h15[NAK] Framing Error,hF5[õ]
-1.325,h15[NAK] Framing Error,hF5[õ]
-1.3225,h15[NAK] Framing Error,hF5[õ]
-1.32,h15[NAK] Framing Error,hF5[õ]
-1.3175,h15[NAK] Framing Error,hF5[õ]
-1.315,h15[NAK] Framing Error,hF5[õ]
