v1	V(output)	V(n007)	V(n008)
3.732131966147284e-03	-3.436173e-03	3.731652e-02	-4.505308e-05
3.758090996856102e-03	-3.436173e-03	3.757607e-02	-4.505308e-05
3.784230586902439e-03	-3.436173e-03	3.783743e-02	-4.505308e-05
3.810551992175806e-03	-3.436173e-03	3.810062e-02	-4.505308e-05
3.837056477301114e-03	-3.436173e-03	3.836563e-02	-4.505308e-05
3.863745315699439e-03	-3.436173e-03	3.863248e-02	-4.505308e-05
3.890619789649200e-03	-3.436173e-03	3.890119e-02	-4.505308e-05
3.917681190347766e-03	-3.436173e-03	3.917177e-02	-4.505308e-05
3.944930817973496e-03	-3.436173e-03	3.944423e-02	-4.505308e-05
3.972369981748204e-03	-3.436173e-03	3.971859e-02	-4.505308e-05
4.000000000000062e-03	-3.436173e-03	3.999485e-02	-4.505308e-05
4.027822200226938e-03	-3.436173e-03	4.027304e-02	-4.505308e-05
4.055837919160180e-03	-3.436173e-03	4.055316e-02	-4.505308e-05
4.084048502828837e-03	-3.436173e-03	4.083523e-02	-4.505308e-05
4.112455306624331e-03	-3.436173e-03	4.111926e-02	-4.505308e-05
4.141059695365576e-03	-3.436173e-03	4.140527e-02	-4.505308e-05
4.169863043364552e-03	-3.436173e-03	4.169327e-02	-4.505308e-05
4.198866734492336e-03	-3.436173e-03	4.198327e-02	-4.505308e-05
4.228072162245589e-03	-3.436173e-03	4.227528e-02	-4.505308e-05
4.257480729813507e-03	-3.436173e-03	4.256933e-02	-4.505308e-05
4.287093850145241e-03	-3.436173e-03	4.286543e-02	-4.505308e-05
4.316912946017778e-03	-3.436173e-03	4.316358e-02	-4.505308e-05
4.346939450104302e-03	-3.436173e-03	4.346380e-02	-4.505308e-05
4.377174805043029e-03	-3.436173e-03	4.376612e-02	-4.505308e-05
4.407620463506515e-03	-3.436173e-03	4.407053e-02	-4.505308e-05
4.438277888271453e-03	-3.436173e-03	4.437707e-02	-4.505308e-05
4.469148552288953e-03	-3.436173e-03	4.468574e-02	-4.505308e-05
4.500233938755312e-03	-3.436173e-03	4.499655e-02	-4.505308e-05
